"REPOSITORY_NM","REPOSITORY_NO","FUNC_ID","FUNC_NM","APP_KBN","BG_L","BG_M","BG_S","ADMIN_ID","FUNC_OUTLINE","NOTE","BODY_SQL","TITLE_SQL","CREATED_DATE","CREATED_BY","CREATED_PRG_NM","UPDATED_DATE","UPDATED_BY","UPDATED_PRG_NM"
"Woody_main_2025-12-25","0","DMTT_S_SO_LIST","DMTT Sale Order Subform","SUB","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","Assign Shipment Job (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_CONF_DELIIVERY_ORDER","Confirm Delivery Order (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_CREATE_INVOICE","Create Invoice (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_QT","Create Quotation (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_QT_LIST","Quotation List (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_SALES_ORDER","Create Sales Order (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_SALES_ORDER_LIST","Sales Order List (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_SHIPMENT_INST","Create Shipment Instruction (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_SHIPMENT_INST_LIST","Shipment Instruction List (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_SHIPMENT_JOB_DETAILS","Shipment Job Details (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_SHIPMENT_JOB_LIST","Shipment Job List (Press)","STD","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_SHP010_CS","Customer Subform","SUB","","","","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_USER_LIST","DMTT User List","SUB","","","","","","","","","","","","","",""
